Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-11-12 12:10:06 UTC,fropro,salted caramel ice cream tub,Freezer,520ml,67g,5,,486kj,10.4g,3.3g,2.2g,9.8g,4.8g,140mg,14,TRUE,10,FALSE,,,1541985006.0-W-3040
2018-11-12 12:10:06 UTC,fropro,chocolate ice cream tub,Freezer,520ml,67g,5,,509kj,10.4g,4g,2.6g,9.8g,4.8g,50mg,14,TRUE,10,FALSE,,,1541985006.0-W-3041
2018-11-10 11:03:44 UTC,fruche,vanilla bean dessert,"Dairy, Eggs & Fridge",2x150g,150g,1,,439kJ,5.4g,2.9g,1.9g,14.1g,12.1g,36mg,2.9,TRUE,2.5,FALSE,,,1541808224.0-W-1242
2018-11-10 11:03:44 UTC,fruche,strawberry fields dessert,"Dairy, Eggs & Fridge",2x150g,150g,1,,469kJ,5.4g,2.9g,1.9g,15.9g,14.1g,38mg,2.9,TRUE,2.5,FALSE,,,1541808224.0-W-1243
2018-11-10 15:19:10 UTC,fruit & nut mix ,loose with goji berry,Pantry,per kg min. 100g,per,,,,,,,,,,0,FALSE,0,FALSE,,,1541823550.0-W-6654
2018-11-11 08:36:18 UTC,fruit flavoured,snacks jelly drinks,Pantry,900g,g,,,,,,,,,,0,FALSE,0,FALSE,,,1541885778.0-W-9290
2018-11-11 03:05:28 UTC,fruit for life,coconut chips,Pantry,40g,20g,2,,2460kJ,4.3g,46.0g,43.0g,35.0g,33.8g,535mg,2.1,FALSE,2.1,FALSE,,,1541865928.0-W-8227
2018-11-09 20:22:07 UTC,fruit melon,mix,Fruit & Veg,220g,g,,,,,,,,,,3.5,FALSE,3.5,FALSE,,,1541755327.0-W-3426
2018-11-10 15:19:10 UTC,fruit salad tropical,loose,Pantry,per kg min. 100g,per,,,,,,,,,,0,FALSE,0,FALSE,,,1541823550.0-W-6650
2018-11-11 09:21:12 UTC,fry's ,chocolate cream,Pantry,49g,49g,3,,1800kJ,2.2g,14.5g,8.7g,71.0g,65.5g,,2.55,FALSE,2.55,FALSE,,,1541888472.0-W-9464
2018-11-11 09:21:12 UTC,fry's ,chocolate bar peppermint cream,Pantry,49g,49g,3,,1800kJ,2.2g,14.5g,8.7g,71.0g,65.5g,,2.55,FALSE,2.55,FALSE,,,1541888472.0-W-9465
2018-11-12 10:18:48 UTC,fry's ,meat free schnitzels with soy & flaxseed,Freezer,320g,80g,4,,998kJ,10g,14.4g,2g,15.4g,2.5g,570mg,6,TRUE,5,FALSE,,,1541978328.0-W-2715
2018-11-12 10:18:48 UTC,fry's ,meat free nuggets with rice protein & chia,Freezer,240g,60g,4,,921kJ,8.1g,14.4g,2.2g,12.1g,2.5g,409.7mg,6,TRUE,5,FALSE,,,1541978328.0-W-2720
2018-11-09 22:37:22 UTC,funky fields,mince 100% plant based,"Dairy, Eggs & Fridge",400g,g,,,,,,,,,,8,FALSE,8,FALSE,,,1541763442.0-W-701
2018-11-10 12:33:53 UTC,funky fields,vegan organic spread,"Dairy, Eggs & Fridge",225g,g,,,,,,,,,,5.5,FALSE,5.5,FALSE,,,1541813633.0-W-1542
2018-11-12 22:56:27 UTC,furphy,refreshing ale stubbies,Liquor,24x375ml case,ml case,,,,,,,,,,57,FALSE,57,TRUE,2,48,1542023787.0-W-3724
2018-11-12 22:56:27 UTC,furphy,refreshing ale stubbies,Liquor,6x375ml pack,ml pack,,,,,,,,,,19.5,FALSE,19.5,TRUE,2,17.5,1542023787.0-W-3725
2018-11-12 22:56:27 UTC,furphy,refreshing ale stubby,Liquor,375ml single,Ml,,,,,,,,,,4.3,FALSE,4.3,TRUE,8,2.75,1542023787.0-W-3726
2018-11-12 23:41:32 UTC,furphy,can,Liquor,6x375ml,Ml,,,,,,,,,,19.5,FALSE,19.5,FALSE,,,1542026492.0-W-3905
2018-11-13 09:27:37 UTC,furphy,refreshing ale can,Liquor,375ml,Ml,,,,,,,,,,4.3,FALSE,4.3,TRUE,8,2.75,1542061657.0-W-5033
2018-11-13 09:27:37 UTC,furphy,can,Liquor,24x375ml,Ml,,,,,,,,,,57,FALSE,57,TRUE,2,48,1542061657.0-W-5057
2018-11-11 09:51:16 UTC,future generations,organic rice malt syrup,Pantry,500g,3.58g,139,,1322.14kJ,<0.1g,<0.1g,<0.1g,79g,54g,<10,5.49,TRUE,4.95,FALSE,,,1541890276.0-W-9550
2018-11-12 18:40:57 UTC,fuze,ice tea lemon,Drinks,1.25l,Litre,,,,,,,,,,3.2,TRUE,2.5,FALSE,,,1542008457.0-W-2029
2018-11-12 18:40:57 UTC,fuze,ice tea mango,Drinks,1.25l,250mL,5,,79kJ,<1g,<1g,0g,4.4g,4.4g,13.7mg,3.2,TRUE,2.5,FALSE,,,1542008457.0-W-2030
