Date of data Extraction,Brand,Product name,ProductID,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 09:29:39 UTC,ainsley harriot,Ainsley Harriot Snack Pot Moroccan,680608,Pantry,70g,100g,1,,Approx. 631kJ,Approx. 4.4g,Approx. 2.5g,Approx. 0.6g,Approx. 26.2g,Approx. 3.2g,Approx. 185mg,3,TRUE,1.5,FALSE,,
2018-08-15 07:29:49 UTC,ainsley harriott,Ainsley Harriott Singapore Spice Rice Spice,599322,Pantry,105g,139g (cooked),100g (cooked),,587kJ,2.6g,2.1g,0.7g,27.1g,1.2g,220mg,2.2,FALSE,2.2,FALSE,,
2018-08-15 06:09:38 UTC,akropolis,Akropolis Ouzo ,55030,Liquor,700ml,Ml,,,,,,,,,,44,FALSE,44,FALSE,,
2018-08-15 06:29:40 UTC,akta vite,Akta Vite Drinking Chocolate ,35719,Drinks,375g,15g (3tsp),25,,1490kJ,4.4g,1.9g,1.2g,79.3g,62.9g,11mg,5.95,FALSE,5.95,FALSE,,
2018-08-15 07:09:44 UTC,al kanater,Al Kanater Spreads Lebanese Tahineh,140917,Pantry,450g,g,,,,,,,,,,5.5,FALSE,5.5,FALSE,,
2018-08-15 09:49:38 UTC,alambra,Alambra Cypriot Halloumi,702566,"Meat, Seafood & Deli",225g,25g,9,,1367kJ,22g,25g,15g,1.8g,0.9g,,6.49,FALSE,6.49,FALSE,,
2018-08-15 09:49:38 UTC,alambra,Alambra Cypriot Halloumi,702620,"Meat, Seafood & Deli",850g,25g,34,,1331kJ,22.0g,25.0g,16.0g,1.9g,1.6g,,18.99,FALSE,18.99,FALSE,,
2018-08-15 07:09:43 UTC,alfa one,Alfa One Rice Bran Oil,234923,Pantry,4l,15mL,267,,3400kj,0g,92g,21g,0g,0g,0g,24,TRUE,12,FALSE,,
2018-08-15 07:09:43 UTC,alfa one,Alfa One Rice Bran Oil,293543,Pantry,1l,15mL,67,,3400kj,0g,92g,21g,0g,0g,0g,8.5,TRUE,7,FALSE,,
2018-08-15 07:09:43 UTC,alfa one,Alfa One Rice Bran Oil,227756,Pantry,500ml,15mL,33,,3400kj,0g,92g,21g,0g,0g,0g,4.5,TRUE,4,FALSE,,
2018-08-15 06:09:37 UTC,alize bleu,Alize Bleu Liqueur ,908651,Liquor,750ml,Ml,,,,,,,,,,55,FALSE,55,FALSE,,
2018-08-15 06:09:41 UTC,alka power,Alka Power Alkaline Water ,507997,Lunch Box,1.5l bottle,Litre,,,,,,,,,,3.5,FALSE,3.5,FALSE,,
2018-08-15 06:09:41 UTC,alka power,Alka Power Alkaline Water ,508479,Lunch Box,600ml bottle,Ml,,,,,,,,,,2,FALSE,2,FALSE,,
2018-08-15 07:09:45 UTC,all natural bakery,All Natural Bakery Bars Slice Oat Almond & Apricot,192161,Pantry,100g,100g,1,,1796kJ,7.2g,19.9g,12.4g,52.2g,16.5g,189mg,2.69,FALSE,2.69,FALSE,,
2018-08-15 07:09:45 UTC,all natural bakery,All Natural Bakery Bars Oat Slice Yog Almond & Apricot,380715,Pantry,100g,100g,1,,1807kJ,7.5g,21.1g,14.1g,52.0g,19.5g,186mg,2.69,FALSE,2.69,FALSE,,
2018-08-15 07:09:45 UTC,all natural bakery,All Natural Bakery Bars Macadamia & Apricot Oat Slice,739520,Pantry,100g,100g,1,,1815kJ,7.5g,21.1g,13.9g,50.6g,19.4g,177mg,2.69,FALSE,2.69,FALSE,,
2018-08-15 07:09:45 UTC,all natural bakery,All Natural Bakery Bars Slice Oat Fruit & Nut,192179,Pantry,100g,100g,1,,1798kJ,7.1g,20.0g,12.3g,52.4g,16.9g,193mg,2.69,FALSE,2.69,FALSE,,
2018-08-15 07:09:45 UTC,all natural bakery,All Natural Bakery Bars Slice Oat Banana,217017,Pantry,100g,100g,1,,1770kJ,7.0g,18.5g,11.4g,53.9g,20.1g,179mg,2.69,FALSE,2.69,FALSE,,
2018-08-15 09:09:38 UTC,all natural bakery,All Natural Bakery Bars Oat Slice Yog Peach & Mango,291286,Pantry,100g,g,,,,,,,,,,2.69,FALSE,2.69,FALSE,,
2018-08-15 07:50:08 UTC,allens,Allens Fruits&cream ,677033,Pantry,170g,g,,,,,,,,,,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allens,Allens All About Red ,514271,Pantry,170g,20g(Approx 4 Pieces),8,,1430kJ,5.1g,<1g,<1g,78.5g,45.2g,100mg,3,TRUE,2,FALSE,,
