Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 06:09:39 UTC,Allen's,Orangey Hot Chocolate Jaffas,Drinks,147g,100,10,3180500P,,9.9g,3.8g,2.1g,81.1g,58.1g,240mg,6.6,FALSE,6.6,FALSE,,
2018-08-15 06:09:39 UTC,Allen's,Caramelly Fantales Hot Chocolate 10 Pack,Drinks,162g,100,10,3180496P,,8.4g,3g,1.7g,83.9g,60.8g,220mg,6.6,FALSE,6.6,FALSE,,
2018-08-15 06:09:45 UTC,Allen's,All About Red,Pantry,170g,20,8,2655066P,,5.1g,1g,1g,78.5g,45.2g,100mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:45 UTC,Allen's,Chew Mix,Pantry,415g,,,3207388P,,,,,,,,5.4,TRUE,5,FALSE,,
2018-08-15 06:09:45 UTC,Allen's,Frog Family,Pantry,170g,100,8,3035635P,,4.8g,1g,1g,81.2g,42g,105mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:45 UTC,Allen's,Jelly Beans,Pantry,190g,20,9,5196840P,,<1g,<1g,<1g,91.7g,61g,58mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:55 UTC,Allen's,Retro Party Mix,Pantry,190g,20,9,5916031P,,3.9g,<1g,<1g,80.6g,45.7g,100mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:56 UTC,Allen's,Limited Edition Jaffas Block,Pantry,170g,,,2962145P,,,,,,,,4.5,TRUE,3,FALSE,,
2018-08-15 06:09:56 UTC,Allen's,Lollipops,Pantry,130g,,,3207322P,,,,,,,,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:56 UTC,Allen's,Red Skins,Pantry,370g,,,3207366P,,,,,,,,5.4,TRUE,5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Chicos,Pantry,190g,20,9,9530207P,,<1.2g,<1.1g,<1g,80.1g,43.1g,255mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Pineapples,Pantry,170g,20,8,2211186P,,<3.3g,<1g,<1g,81.6g,45.4g,100mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Classic Party Mix,Pantry,520g,,,3207413P,,,,,,,,5.4,TRUE,5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Snakes Alive,Pantry,520g,,,3207424P,,,,,,,,5.4,TRUE,5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Frogs Alive,Pantry,190g,20,9,5196806P,,<4.7g,<1g,<1g,79.4g,41g,105mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Minties,Pantry,415g,100,20,3207377P,,1.5g,<1g,<1g,89.6g,54.3g,58mg,5.4,TRUE,5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Jelly Lollies Killer Python,Pantry,43g,1 Killer Python 43g,1,6336762P,1400kJ,4.9g,Less than 1g,Less than 1g,77.3g,46.0g,100mg,0.01,FALSE,0.01,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Strawberries & Cream,Pantry,190g,20,9,5196839P,,<3.5g,<1g,<1g,82g,45.5g,100mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Killer Pythons,Pantry,192g,24,8,2090900P,,4.9g,<1g,1g,76.5g,43.7g,99mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Party Mix,Pantry,520g,,,3207402P,,,,,,,,5.4,TRUE,5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Minties,Pantry,150g,20,7,1385115P,,1.5g,<1g,<1g,89.6g,54.3g,58mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Kool Mints,Pantry,150g,15,10,1385126P,,<1g,2.3g,2g,92.2g,69.3g,29mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:57 UTC,Allen's,Party Mix,Pantry,190g,20,9,5196850P,,3.7g,<1g,<1g,81.8g,48.5g,95mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:58 UTC,Allen's,Snakes Alive,Pantry,200g,25,8,9530138P,,4.6g,<1g,<1g,77g,44.1g,99mg,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:58 UTC,Allen's,Jaffas Family Size Bag,Pantry,340g,14,24,3035588P,,2.3g,15.7g,14.2g,75.8g,74.5g,54mg,5,FALSE,5,FALSE,,
2018-08-15 06:09:58 UTC,Allen's,Freckles Family Size Bag,Pantry,340g,20,17,1895381P,,4.7g,18.6g,16.2g,72g,67.5g,100mg,5,FALSE,5,FALSE,,
2018-08-15 06:09:58 UTC,Allen's,Fantales Family Size,Pantry,340g,20,17,9405635P,,2.9g,15.8g,13.4g,73g,56g,120mg,5,FALSE,5,FALSE,,
2018-08-15 06:09:59 UTC,Allen's,Jelly Babies,Pantry,190g,,,3207333P,,,,,,,,3,TRUE,1.5,FALSE,,
2018-08-15 06:09:38 UTC,Allowrie,Unsalted Butter Pat,"Dairy, Eggs & Meals",250g,,,195169P,,,,,,,,0,FALSE,0,FALSE,,
2018-08-15 06:09:38 UTC,Allowrie,Butter Pat,"Dairy, Eggs & Meals",250g,5g,50,195158P,3060 kJ,Less than 1 g,82.2 g,54.2 g,Less than 1 g,Less than 1 g,640 mg,0,FALSE,0,FALSE,,
2018-08-15 06:09:38 UTC,Allure By Tempo,Forest Fruits Yoghurt,"Dairy, Eggs & Meals",200g,100g,2,5043758P,,4.3g,,,15.3g,13.2g,66mg,2.85,FALSE,2.85,FALSE,,
2018-08-15 06:09:38 UTC,Allure By Tempo,Blueberry Yoghurt,"Dairy, Eggs & Meals",200g,100g,2,5010919P,,4.2g,,,17.4g,16.2g,61mg,2.85,FALSE,2.85,FALSE,,
2018-08-15 06:09:38 UTC,Allure By Tempo,Mango & Passionfruit Yoghurt,"Dairy, Eggs & Meals",200g,,,5010930P,,,,,,,,2.85,FALSE,2.85,FALSE,,
2018-08-15 06:09:38 UTC,Allure By Tempo,Coffee Yoghurt,"Dairy, Eggs & Meals",200g,100g,2,5010920P,444kJ,4.9g,5.2g,3.6g,9.9g,8.8g,48mg,2.85,FALSE,2.85,FALSE,,
2018-08-15 06:09:38 UTC,Allure By Tempo,Strawberry Yoghurt,"Dairy, Eggs & Meals",200g,100g,2,5010952P,460kJ,4.2g,3.3g,2.4g,15.7g,13.4g,100mg,2.85,FALSE,2.85,FALSE,,
2018-08-15 06:09:38 UTC,Allure By Tempo,Apricot Yoghurt,"Dairy, Eggs & Meals",200g,100g,2,5010908P,490kJ,4.5g,4.1g,2.9g,15.4g,14.4g,51mg,2.85,FALSE,2.85,FALSE,,
2018-08-15 06:09:38 UTC,Allure By Tempo,Vanilla Yoghurt,"Dairy, Eggs & Meals",200g,100g,2,5010963P,,4.9g,,,9.9g,8.8g,48mg,2.85,FALSE,2.85,FALSE,,
2018-08-15 06:10:03 UTC,Ally,Pink Salmon,Pantry,105g,,,124681P,,,,,,,,1.8,FALSE,1.8,FALSE,,
