Date of data Extraction,Brand,Product name,ProductID,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:29:42 UTC,5 seeds,5 Seeds Apple Cider Crisp Cans,653207,Liquor,10x330ml pack,ml pack,,,,,,,,,,23,FALSE,23,FALSE,,,1534278582.0-W-23
2018-08-15 06:29:43 UTC,5 seeds,5 Seeds Apple Cider Crisp Cans,653208,Liquor,30x330ml case,ml case,,,,,,,,,,64,FALSE,64,FALSE,,,1534278583.0-W-24
2018-08-15 08:49:37 UTC,5 seeds,5 Seeds Lower Sugar Cider,996711,Liquor,24x345ml case,ml case,,,,,,,,,,52,TRUE,47,FALSE,,,1534286977.0-W-25
2018-08-15 08:49:37 UTC,5 seeds,5 Seeds Crisp Apple Cider,331384,Liquor,24x345ml,Ml,,,,,,,,,,52,TRUE,47,FALSE,,,1534286977.0-W-26
2018-08-15 08:49:37 UTC,5 seeds,5 Seeds Crisp Apple Cider,331438,Liquor,345ml,Ml,,,,,,,,,,5,FALSE,5,FALSE,,,1534286977.0-W-27
2018-08-15 08:49:37 UTC,5 seeds,5 Seeds Crisp Apple Cider,331437,Liquor,6x345ml,Ml,,,,,,,,,,18.5,FALSE,18.5,FALSE,,,1534286977.0-W-28
2018-08-15 08:49:37 UTC,5 seeds,5 Seeds Lower Sugar Cider Bottle ,658249,Liquor,345ml,Ml,,,,,,,,,,5,FALSE,5,FALSE,,,1534286977.0-W-29
2018-08-15 08:49:37 UTC,5 seeds,5 Seeds Lower Sugar Cider,996710,Liquor,6x345ml pack,ml pack,,,,,,,,,,18.5,FALSE,18.5,FALSE,,,1534286977.0-W-30
2018-08-15 06:29:40 UTC,8 bit,8 Bit Indian Pale Ale,978204,Liquor,24x330ml case,ml case,,,,,,,,,,87,FALSE,87,FALSE,,,1534278580.0-W-31
2018-08-15 08:49:37 UTC,8 bit,8 Bit Indian Pale Ale,978205,Liquor,6x330ml pack,ml pack,,,,,,,,,,28.5,FALSE,28.5,FALSE,,,1534286977.0-W-32
2018-08-15 09:49:38 UTC,9 grain,9 Grain Tip Top Plus Wholemeal,263634,Bakery,750g,79g (2 Slices),9.5,,1040kJ,12.4g,6.4g,0.7g,30.6g,1.9g,370mg,3.3,TRUE,3.2,FALSE,,,1534290578.0-W-33
2018-08-15 09:49:38 UTC,9 grain,9 Grain Tip Top Pumpkin Seed,244271,Bakery,700g,74g (2 slices),9.5,,1100kJ,13.8g,6.4g,1.0g,33.7g,2.1g,400mg,3.3,TRUE,3.2,FALSE,,,1534290578.0-W-34
2018-08-15 09:49:38 UTC,9 grain,9 Grain Tip Top Bread Original,197276,Bakery,700g,74g (2 slices),9.5(17 slices + c crusts),,1040kJ,12.1g,5.0g,0.6g,35.1g,2.2g,400mg,3.3,TRUE,3.2,FALSE,,,1534290578.0-W-35
2018-08-15 06:09:36 UTC,a by arras,A By Arras Non Vintage Premium Cuvee,794486,Liquor,750ml,Ml,,,,,,,,,,31,FALSE,31,FALSE,,,1534277376.0-W-36
2018-08-15 09:09:39 UTC,a+ ,A+ Snacks Seaweed,788498,Pantry,4.5g,g,,,,,,,,,,1,TRUE,0.9,FALSE,,,1534288179.0-W-37
2018-08-15 06:29:40 UTC,a2,A2 Skim Milk Powder,658532,Drinks,1kg,kg,,,,,,,,,,14,FALSE,14,FALSE,,,1534278580.0-W-38
2018-08-15 06:29:40 UTC,a2,A2 Full Cream Milk Powder ,855562,Drinks,1kg,kg,,,,,,,,,,14,FALSE,14,FALSE,,,1534278580.0-W-39
2018-08-15 08:09:47 UTC,a2,A2 Full Cream Milk,208064,"Dairy, Eggs & Fridge",2l,250mL,4,,275kJ,3.3g,3.5g,2.4g,5.0g,4.7g,33mg,4.8,FALSE,4.8,FALSE,,,1534284587.0-W-40
2018-08-15 08:09:47 UTC,a2,A2 Full Cream Milk,216872,"Dairy, Eggs & Fridge",1l,250mL,4,,275kJ,3.3g,3.5g,2.4g,5.0g,4.7g,33mg,2.9,FALSE,2.9,FALSE,,,1534284587.0-W-41
2018-08-15 08:09:47 UTC,a2,A2 Light Milk,208066,"Dairy, Eggs & Fridge",2l,250mL,8,,189kJ,3.3g,1.3g,0.9g,5.2g,5.2g,48mg,4.8,FALSE,4.8,FALSE,,,1534284587.0-W-42
2018-08-15 08:09:47 UTC,a2,A2 Light Milk,216867,"Dairy, Eggs & Fridge",1l,250mL,4,,189kJ,3.3g,1.3g,0.9g,5.2g,5.2g,48mg,2.9,FALSE,2.9,FALSE,,,1534284587.0-W-43
2018-08-15 06:09:38 UTC,a2 platinum,A2 Platinum Follow-on Formula Stage 2 6-12mnths,839242,Baby,900g,g,,,,,,,,,,0,FALSE,0,FALSE,,,1534277378.0-W-44
2018-08-15 06:09:39 UTC,a2 platinum,A2 Platinum Premium Junior Milk Drink Stage 4 From 3 Years+,649428,Baby,900g,220mL,25,,309kJ,3.8g,3.0g,2.0g,7.5g,7.1g,36mg,29,FALSE,29,FALSE,,,1534277379.0-W-45
2018-08-15 09:49:38 UTC,abbott's,Abbott's Village Bakery Bread Country Grains,690125,Bakery,800g,g,,,,,,,,,,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-46
2018-08-15 09:49:38 UTC,abbott's,Abbott's Village Bakery Bread Rustic White,690672,Bakery,700g,g,,,,,,,,,,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-47
2018-08-15 08:09:45 UTC,abbotts village bakery,Abbotts Village Bakery Gluten Free Mixed Seeds,535677,Bakery,500g,83g (2 slices),6,,1230kJ,6.3g,10.1g,1.1g,41.4g,4.2g,337mg,6.99,FALSE,6.99,FALSE,,,1534284585.0-W-48
2018-08-15 08:09:45 UTC,abbotts village bakery,Abbotts Village Bakery Gluten Free Soy & Linseed,535646,Bakery,500g,83g (2slices),6,,1140kJ,6.5g,6.6g,0.7g,43.5g,5.0g,364mg,6.99,FALSE,6.99,FALSE,,,1534284585.0-W-49
2018-08-15 08:09:45 UTC,abbott's village bakery,Abbott's Village Bakery Gluten Free Rustic White,706337,Bakery,500g,g,,,,,,,,,,6.99,FALSE,6.99,FALSE,,,1534284585.0-W-50
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Light Rye Bread,331602,Bakery,680g,76g (2 slices),9(16 slices + 2 crusts),,1030kJ,9.7g,3.0g,0.5g,42.1g,2.8g,360mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-51
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Farmhouse Wholemeal Bread,331591,Bakery,750g,84g (2 slices),9(16 slices + 2 crusts),,987kJ,8.7g,2.9g,0.5g,40.0g,3.6g,348mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-52
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Harvest Seeds & Grains Bread,341277,Bakery,750g,84g (2 slices),9(16 slices + 2 crusts),,1090kJ,9.0g,4.8g,0.6g,42.9g,3.0g,400mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-53
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Sundried Tomato & Basil,693620,Bakery,750g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534290578.0-W-54
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Toasted Soy Chickpea & Quinoa,693621,Bakery,750g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534290578.0-W-55
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Pumpkin Sunflower Seed & Caramelised Onion,693627,Bakery,750g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534290578.0-W-56
2018-08-15 07:09:43 UTC,abc,Abc Chilli Sauce Extra Hot,168680,Pantry,340ml,15mL,22,,813kJ,1.6g,0.6g,0.2g,44.1g,31.0g,2600mg,2.75,FALSE,2.75,FALSE,,,1534280983.0-W-57
2018-08-15 09:09:39 UTC,abc,Abc Chilli Sauce ,826968,Pantry,335ml,Ml,,,,,,,,,,2,FALSE,2,FALSE,,,1534288179.0-W-58
2018-08-15 09:09:40 UTC,abc,Abc Sweet Soy Sauce,720977,Pantry,275ml,15mL (1 tbsp),18,,1850kJ,1.9g,0.6g,0.4g,103.9g,79.0g,2220mg,2,FALSE,2,FALSE,,,1534288180.0-W-59
2018-08-15 09:09:40 UTC,abc,Abc Sweet Soy Sauce,784997,Pantry,600ml,15mL (1 tbsp),40,,1850kJ,1.9g,0.6g,0.4g,103.9g,79.0g,2220mg,4.1,FALSE,4.1,FALSE,,,1534288180.0-W-60
2018-08-15 08:29:42 UTC,abel's tempest,Abel's Tempest Chardonnay Pinot Noir ,513235,Liquor,750ml,Ml,,,,,,,,,,30,FALSE,30,FALSE,,,1534285782.0-W-61
2018-08-15 08:29:41 UTC,aberlour,Aberlour Cask Whisky 12 Year Old,792092,Liquor,700ml,Ml,,,,,,,,,,96,FALSE,96,FALSE,,,1534285781.0-W-62
2018-08-15 08:09:46 UTC,abes,Abes Blueberry Bagels ,682573,Bakery,4 pack,,,,,,,,,,,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-63
2018-08-15 08:09:46 UTC,abes,Abes Real Bagels Parmesan,270578,Bakery,4 pack,,,,,,,,,,,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-64
2018-08-15 06:09:39 UTC,abe's bagel bakery,Abe's Bagel Bakery Natural Bagels,270580,Lunch Box,360g 4pk,90g (1 bagel),4,,1120kJ,9.3g,1.3g,0.2g,52.4g,0m,411mg,4.99,FALSE,4.99,FALSE,,,1534277379.0-W-65
2018-08-15 08:09:46 UTC,abe's bagel bakery,Abe's Bagel Bakery Multigrain Bagels,753766,Bakery,360g 4pk,90g (1 bagel),4,,1100kJ,11.5g,1.5g,0.3g,0mg,6.5g,390mg,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-66
2018-08-15 08:09:46 UTC,abe's bagel bakery,Abe's Bagel Bakery Sesame Seed Bagels,270583,Bakery,360g 4pk,g,,,,,,,,,,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-67
2018-08-15 09:29:35 UTC,abe's bagel bakery,Abe's Bagel Bakery Marlborough Seasalt Bagel Crisps,280499,Pantry,150g,25g,6,,1820kJ,10.5g,12.7g,1.2g,67.4g,6.9g,1160mg,3.2,FALSE,3.2,FALSE,,,1534289375.0-W-68
2018-08-15 09:29:35 UTC,abe's bagel bakery,Abe's Bagel Bakery Roasted Garlic Bagel Crisps,267931,Pantry,150g,25g,6,,1850kJ,10.8g,12.7g,1.2g,68.6g,6.9g,530mg,3.2,FALSE,3.2,FALSE,,,1534289375.0-W-69
2018-08-15 09:29:35 UTC,abe's bagel bakery,Abe's Bagel Bakery Vegemite Bagel Bites,661811,Pantry,150g,g,,,,,,,,,,3.2,FALSE,3.2,FALSE,,,1534289375.0-W-70
2018-08-15 09:29:38 UTC,abe's bagel bakery,Abe's Bagel Bakery Bagel Bites Vegemite,640248,Pantry,8 pack,,,,,,,,,,,4,TRUE,3,FALSE,,,1534289378.0-W-71
2018-08-15 06:09:37 UTC,absinth,Absinth Liqueur Green Fairy,908453,Liquor,40ml,Ml,,,,,,,,,,12,FALSE,12,FALSE,,,1534277377.0-W-72
2018-08-15 06:09:37 UTC,absolut,Absolut Vodka Lime,630642,Liquor,700ml,Ml,,,,,,,,,,49,FALSE,49,FALSE,,,1534277377.0-W-73
2018-08-15 06:09:37 UTC,absolut,Absolut Vodka ,902023,Liquor,1l,Litre,,,,,,,,,,70,FALSE,70,FALSE,,,1534277377.0-W-74
2018-08-15 06:09:37 UTC,absolut,Absolut Vodka ,27720,Liquor,700ml,Ml,,,,,,,,,,49,TRUE,40,FALSE,,,1534277377.0-W-75
