Date of data Extraction 1,Brand 1,Product name 1,Category 1,Pack size 1,Serving size 1,Servings per pack 1,Product code 1,Energy per 100g (or 100ml) 1,Protein per 100g (or 100ml) 1,Total fat per 100g (or 100ml) 1,Saturated fat per 100g (or 100ml) 1,Carbohydrate per 100g (or 100ml) 1,Sugars per 100g (or 100ml) 1,Sodium per 100g (or 100ml) 1,Original Price 1,Price Promoted 1,Price Promoted Price 1,Multi Buy Special 1,Multi Buy Special Details 1,Multi Buy Price 1,UID 1,Date of data Extraction 2,Brand 2,Product name 2,Category 2,Pack size 2,Serving size 2,Servings per pack 2,Product code 2,Energy per 100g (or 100ml) 2,Protein per 100g (or 100ml) 2,Total fat per 100g (or 100ml) 2,Saturated fat per 100g (or 100ml) 2,Carbohydrate per 100g (or 100ml) 2,Sugars per 100g (or 100ml) 2,Sodium per 100g (or 100ml) 2,Original Price 2,Price Promoted 2,Price Promoted Price 2,Multi Buy Special 2,Multi Buy Special Details 2,Multi Buy Price 2,UID 2
2018-08-15 06:09:30 UTC,Wonder White,Sandwich Bread +7 Vitamins & Minerals,Bread & Bakery,700g,,,5795130P,1000kJ,8.1g,2.6g,<1.0g,42.7g,3.5g,400mg,3.2,FALSE,3.2,FALSE,,,1534277370.0-C-596,2018-08-15 09:49:38 UTC,wonder white,bread vitamins & minerals toast,Bakery,700g,82g (2 slices),8.5,,955kJ,7.8g,2.1g,<1.0g,40.2g,2.8g,400mg,3.2,FALSE,3.2,FALSE,,,1534290578.0-W-12817
2018-08-15 06:09:29 UTC,Balconi,Trancetto Cakes 10 pack,Bread & Bakery,280g,,,9228493P,,,,,,,,4,FALSE,4,FALSE,,,1534277369.0-C-420,2018-08-15 08:09:46 UTC,balconi,trancetto single coco,Bakery,10pk,,,,459kJ,1.5g,5.0g,2.6g,14.5g,9.3g,,3.99,FALSE,3.99,FALSE,,,1534284586.0-W-6673
2018-08-15 06:09:55 UTC,Mountain Bread,Rye Flat Bread,Bread & Bakery,200g,25g,8,5213790P,1150kJ,,1.2g,0.3g,53.1g,2.3g,410mg,4,TRUE,3,FALSE,,,1534277395.0-C-8159,2018-08-15 08:09:46 UTC,rye,mountain bread,Bakery,200g,25g,8,,1150kJ,10.4g,1.2g,0.3g,53.1g,2.3g,410mg,4,FALSE,4,FALSE,,,1534284586.0-W-6719
2018-08-15 06:09:30 UTC,Golden,Pancakes 6 pack,Bread & Bakery,360g,60g (1 Pancake),6,6051649P,909kJ,5.1g,4.8g,0.7g,36.9g,11.8g,281mg,5,TRUE,3.5,FALSE,,,1534277370.0-C-773,2018-08-15 08:09:45 UTC,golden,pancakes,Bakery,6pk 360g,60g (1 Pancake),6,,909kJ,5.1g,4.8g,0.7g,36.9g,11.8g,281mg,4.99,FALSE,4.99,TRUE,2,3,1534284585.0-W-6603
2018-08-15 06:09:55 UTC,Bazaar,Gourmet Pizza Bases 2 pack,Bread & Bakery,440g,110g,4,4991778P,1210kJ,7.7g,6.0g,0.6g,49.4g,2.8g,653mg,6,FALSE,6,FALSE,,,1534277395.0-C-8157,2018-08-15 08:09:46 UTC,bazaar,pizza bases gourmet,Bakery,2pk,110g,4,,1210kJ,7.7g,6.0g,0.6g,49.4g,,653mg,5.99,TRUE,4,FALSE,,,1534284586.0-W-6635
2018-08-15 06:09:29 UTC,Abbott's Village,Harvest Seeds & Grains,Bread & Bakery,750g,84g,,7534885P,1180kJ,11.0g,5.2g,0.6g,42.9g,2.8g,400mg,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-526,2018-08-15 09:49:38 UTC,abbott's village bakery,harvest seeds & grains bread,Bakery,750g,84g (2 slices),9(16 slices + 2 crusts),,1090kJ,9.0g,4.8g,0.6g,42.9g,3.0g,400mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12810
2018-08-15 06:09:30 UTC,Abbott's Village,Farmhouse Wholemeal,Bread & Bakery,750g,84g,,7226034P,987kJ,10.0g,2.7g,0.6g,38.4g,2.6g,348mg,3.5,FALSE,3.5,FALSE,,,1534277370.0-C-575,2018-08-15 09:49:38 UTC,abbott's village bakery,farmhouse wholemeal bread,Bakery,750g,84g (2 slices),9(16 slices + 2 crusts),,987kJ,8.7g,2.9g,0.5g,40.0g,3.6g,348mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12809
2018-08-15 06:09:29 UTC,Abbott's Village,Light Rye,Bread & Bakery,680g,76g,,7226023P,1040kJ,9.5g,2.4g,0.5g,42.3g,3.4g,360mg,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-547,2018-08-15 09:49:38 UTC,abbott's village bakery,light rye bread,Bakery,680g,76g (2 slices),9(16 slices + 2 crusts),,1030kJ,9.7g,3.0g,0.5g,42.1g,2.8g,360mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12790
2018-08-15 06:09:30 UTC,Bazaar,White Pita Pocket 6 pack,Bread & Bakery,400g,67g (1 pita),6,9089295P,1130kJ,8.9g,2.1g,0.4g,51.6g,3.3g,500mg,0,FALSE,0,FALSE,,,1534277370.0-C-591,2018-08-15 08:09:46 UTC,bazaar,lebanese bread white,Bakery,6 pack,83.5g (1 Lebanese bread),6,,1240kJ,9.5g,2.0g,0.5g,58.1g,,500mg,4,FALSE,4,FALSE,,,1534284586.0-W-6697
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Gluten Free Soy & Linseed Bread,Bread & Bakery,500g,83g (2 slices),6,2834247P,1140kJ,6.5g,6.6g,0.7g,43.5g,5.0g,364mg,7,FALSE,7,FALSE,,,1534277369.0-C-531,2018-08-15 08:09:45 UTC,abbotts village bakery,gluten free soy & linseed,Bakery,500g,83g (2slices),6,,1140kJ,6.5g,6.6g,0.7g,43.5g,5.0g,364mg,6.99,FALSE,6.99,FALSE,,,1534284585.0-W-6621
2018-08-15 06:09:55 UTC,Mission,Spinach & Herb Wraps 8 pack,Bread & Bakery,567g,71g,8,7620921P,1270kJ,8.0g,8.1g,3.9g,47.5g,6.0g,890mg,5,FALSE,5,FALSE,,,1534277395.0-C-8175,2018-08-15 08:09:46 UTC,mission,wraps spinach & herb,Bakery,8 pack,,,,1270kJ,7.8g,8.8g,4.3g,46.1g,2.5g,890mg,4.99,TRUE,3.99,FALSE,,,1534284586.0-W-6679
2018-08-15 06:09:30 UTC,Bazaar,Wholemeal Pita Pocket 6 pack,Bread & Bakery,400g,67g (1 pita),6,9089331P,1050kJ,9.0g,2.3g,0.5g,45.6g,3.0g,500mg,0,FALSE,0,FALSE,,,1534277370.0-C-590,2018-08-15 08:09:46 UTC,bazaar,lebanese bread wholemeal,Bakery,6 pack,,,,,,,,,,,4,FALSE,4,FALSE,,,1534284586.0-W-6692
2018-08-15 06:09:30 UTC,Mountain Bread,Rice Flat Bread,Bread & Bakery,200g,25g,8,8275680P,1140kJ,10.3g,1.3g,0.4g,52.9g,2.1g,400mg,4,TRUE,3,FALSE,,,1534277370.0-C-666,2018-08-15 08:09:46 UTC,rice,mountain bread,Bakery,200g,25g,8,,1140kJ,10.3g,1.3g,0.4g,52.9g,2.1g,400mg,4,FALSE,4,FALSE,,,1534284586.0-W-6720
2018-08-15 08:09:33 UTC,Helga's,White Wraps 8 pack,Bread & Bakery,560g,70g (1 wrap),8,1576474P,1220kJ,8.3g,5.7g,2.8g,49.5g,1.2g,430mg,5,TRUE,4,FALSE,,,1534284573.0-C-11804,2018-08-15 08:09:46 UTC,helga's,wraps traditional white,Bakery,560g 8pk,g,,,,,,,,,,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-6688
2018-08-15 06:09:30 UTC,Tip Top,The One White Toast Bread,Bread & Bakery,700g,,,8956189P,950kJ,8.0g,2.1g,0.4g,,,400mg,3.2,FALSE,3.2,FALSE,,,1534277370.0-C-594,2018-08-15 09:49:38 UTC,the one,tip top toast bread white,Bakery,700g,78g (2 slices),9,,950kJ,8.0g,2.1g,0.4g,,,400mg,3.2,FALSE,3.2,FALSE,,,1534290578.0-W-12825
