Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:09:30 UTC,Bazaar,White Pita Pocket 6 pack,Bread & Bakery,400g,67g (1 pita),6,9089295P,1130kJ,8.9g,2.1g,0.4g,51.6g,3.3g,500mg,0,FALSE,0,FALSE,,,1534277370.0-C-591
2018-08-15 06:09:55 UTC,Bazaar,Gourmet Pizza Bases 2 pack,Bread & Bakery,440g,110g,4,4991778P,1210kJ,7.7g,6.0g,0.6g,49.4g,2.8g,653mg,6,FALSE,6,FALSE,,,1534277395.0-C-8157
2018-08-15 06:09:30 UTC,Bill's Organic,Stoneground Wholemeal Bread Yeast Free,Bread & Bakery,620g,40g,16,8726429P,1040kJ,8.2g,2.4g,0.4g,39.8g,0.3g,232mg,5.85,FALSE,5.85,FALSE,,,1534277370.0-C-699
2018-08-15 06:09:30 UTC,Bill's Organic,Stoneground Rye Bread Yeast Free,Bread & Bakery,620g,40g,16,8726564P,1100kJ,9.0g,2.3g,0.3g,45.2g,0.7g,233mg,5.85,FALSE,5.85,FALSE,,,1534277370.0-C-700
2018-08-15 06:09:30 UTC,Bill's Organic,Stoneground Multigrain Bread Yeast Free,Bread & Bakery,620g,40g,16,9455509P,1040kJ,8.8g,5.8g,0.7g,37.5g,0.3g,242mg,5.85,FALSE,5.85,FALSE,,,1534277370.0-C-701
2018-08-15 06:09:30 UTC,Bill's Organic,Spelt Bread,Bread & Bakery,620g,40g,16,1349461P,1030kJ,8.5g,2.3g,0.3g,44.4g,0.1g,242mg,7,FALSE,7,FALSE,,,1534277370.0-C-702
2018-08-15 06:09:30 UTC,Bill's Organic,Ancient Grains + Activated Seeds Bread,Bread & Bakery,620g,40g,16,2270436P,1010kJ,10g,4.3g,0.5g,39.9g,0.1g,237mg,7,FALSE,7,FALSE,,,1534277370.0-C-703
2018-08-15 08:09:33 UTC,Bill's Organic,Multi Fruit Sourdough Bread,Bread & Bakery,660g,40g,16,6935723P,1070kJ,7.1g,1.7g,0.2g,47.7g,13.3g,226mg,7,FALSE,7,FALSE,,,1534284573.0-C-11797
2018-08-15 06:09:30 UTC,Bob & Pete's,Spelt Turkish Pide Bread,Bread & Bakery,1 each,,,2477230P,,,,,,,,0,FALSE,0,FALSE,,,1534277370.0-C-565
2018-08-15 06:09:30 UTC,Bob & Pete's,Turkish Pide Bread,Bread & Bakery,430g,,,6721741P,,,,,,,,0,FALSE,0,FALSE,,,1534277370.0-C-592
2018-08-15 06:09:30 UTC,Bob & Pete's,Turkish Pide Rolls,Bread & Bakery,4 pack,,,8447924P,,,,,,,,0,FALSE,0,FALSE,,,1534277370.0-C-704
2018-08-15 06:09:30 UTC,Bob & Pete's,Brioche Burger Bun,Bread & Bakery,4 pack,,,2516230P,,,,,,,,0,FALSE,0,FALSE,,,1534277370.0-C-705
2018-08-15 06:09:29 UTC,Burgen,Wholemeal & Seeds Bread,Bread & Bakery,700g,,8.5,5369358P,922kJ,13.2g,6.1g,0.7g,23.2g,2.3g,386mg,4.9,FALSE,4.9,FALSE,,,1534277369.0-C-285
2018-08-15 06:09:29 UTC,Burgen,Gluten Free Soy & Linseed Bread,Bread & Bakery,650g,,,2735391P,1110kJ,8.6g,8.4g,0.8g,36.1g,5.0g,420mg,7,FALSE,7,FALSE,,,1534277369.0-C-487
2018-08-15 06:09:29 UTC,Burgen,Gluten Free Sunflower & Chia Bread,Bread & Bakery,700g,,,2735664P,1210kJ,6.6g,9.6g,1.0g,42.0g,5.8g,400mg,7,FALSE,7,FALSE,,,1534277369.0-C-488
2018-08-15 06:09:29 UTC,Burgen,Soy & Linseed Bread,Bread & Bakery,700g,83G (2 slices),8.5,6712445P,905kJ,13.5g,5.8g,0.8g,24.0g,2.9g,435mg,4.9,FALSE,4.9,FALSE,,,1534277369.0-C-505
2018-08-15 06:09:29 UTC,Burgen,Traditional Rye Bread,Bread & Bakery,700g,,8.5,5249684P,1035kJ,10.6g,5.2g,0.5g,35.4g,1.5g,17%,4.9,FALSE,4.9,FALSE,,,1534277369.0-C-506
2018-08-15 06:09:30 UTC,Burgen,Wholegrain & Oats Bread,Bread & Bakery,700g,83g (2 Slices),8.5,7482271P,835kJ,10.9g,4.4g,0.5g,25.6g,2.9g,280mg,4.9,FALSE,4.9,FALSE,,,1534277370.0-C-778
2018-08-15 06:09:30 UTC,Buttercup,Country Split White Bread,Bread & Bakery,450g,,,212790P,1080kJ,10.7g,3.1g,<1.0g,44.6g,2.8g,400mg,3,FALSE,3,FALSE,,,1534277370.0-C-725
2018-08-15 06:09:29 UTC,Cadbury,Mini Rolls Chocolate 5 pack,Bread & Bakery,115g,,,1967369P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-448
2018-08-15 06:09:29 UTC,Cadbury,Mini Rolls Raspberry,Bread & Bakery,5 pack,,,2847726P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-449
2018-08-15 06:09:29 UTC,Cadbury,Caramel Cake Bars,Bread & Bakery,105g,,,2995993P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-450
2018-08-15 06:09:55 UTC,Cadbury,Chocolate Cake Bars,Bread & Bakery,105g,,,2995982P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277395.0-C-8140
2018-08-15 06:09:30 UTC,Country Life,Gluten Free Multigrain,Bread & Bakery,400g,,,3237980P,,,,,,,,6.7,TRUE,6,FALSE,,,1534277370.0-C-696
2018-08-15 06:09:30 UTC,Country Life,Gluten Free White,Bread & Bakery,400g,,,3237979P,,,,,,,,6.7,TRUE,6,FALSE,,,1534277370.0-C-756
2018-08-15 06:09:30 UTC,Freedom Foods Barley,Plus Whole Grain Wraps,Bread & Bakery,225g,1 Wrap (approx. 45g),5,3127890P,918kJ,9.8g,3.5g,0.6g,30.2g,3.6g,390mg,5,FALSE,5,FALSE,,,1534277370.0-C-638
2018-08-15 06:09:30 UTC,Geniius,Gluten Free Pitta Breads,Bread & Bakery,4 pack,,,3237651P,,,,,,,,6,FALSE,6,FALSE,,,1534277370.0-C-566
2018-08-15 06:09:29 UTC,Genius,Gluten Free Soft Brioche Rolls,Bread & Bakery,2 pack,,,3237582P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-524
2018-08-15 06:09:30 UTC,Genius,Gluten Free Triple Seeded Soft Rolls,Bread & Bakery,2 pack,,,3237560P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277370.0-C-676
2018-08-15 06:09:30 UTC,Genius,Gluten Free Soft White Rolls,Bread & Bakery,2 pack,,,3237571P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277370.0-C-729
2018-08-15 06:09:30 UTC,Glick's,Brioche Style Loaf,Bread & Bakery,450g,,,3187983P,,,,,,,,4.5,FALSE,4.5,FALSE,,,1534277370.0-C-730
2018-08-15 06:09:30 UTC,Golden,Chocolate Bomb Pikelets,Bread & Bakery,8 pack,,8,2919805P,1040kJ,5.0g,6.8g,0.8g,40.8g,14.3g,370mg,3.99,FALSE,3.99,FALSE,,,1534277370.0-C-742
2018-08-15 06:09:30 UTC,Golden,Cinnamon Rush Pikelets,Bread & Bakery,8 pack,,,2919816P,,,6.5g,0.8g,42.1g,13.5g,382mg,3.99,FALSE,3.99,FALSE,,,1534277370.0-C-744
2018-08-15 06:09:30 UTC,Golden,Pancakes 6 pack,Bread & Bakery,360g,60g (1 Pancake),6,6051649P,909kJ,5.1g,4.8g,0.7g,36.9g,11.8g,281mg,5,TRUE,3.5,FALSE,,,1534277370.0-C-773
2018-08-15 06:09:55 UTC,Golden,Original Pikelets,Bread & Bakery,8 pack,25g (1 pikelet),8,54000P,918kJ,5.0g,5.0g,0.6g,37.1g,12.1g,330mg,3.99,FALSE,3.99,FALSE,,,1534277395.0-C-8146
2018-08-15 06:09:55 UTC,Golden,Wholemeal Crumpets,Bread & Bakery,6 pack,50g,,292223P,780kJ,5.9g,0.9g,0.1g,36.6g,1.0g,600mg,3.1,FALSE,3.1,FALSE,,,1534277395.0-C-8173
2018-08-15 06:09:55 UTC,Golden,Original Crumpets,Bread & Bakery,6 pack,50g (1 Crumpet),,332383P,695kJ,6.0g,0.9g,0.1g,32.1g,1.0g,600mg,3.1,FALSE,3.1,FALSE,,,1534277395.0-C-8194
2018-08-15 06:09:55 UTC,Golden,Crumpet Breaks,Bread & Bakery,6 pack,71g,,6034275P,750kJ,5.7g,0.9g,0.2g,35.5g,2.0g,600mg,4,TRUE,2.5,FALSE,,,1534277395.0-C-8196
2018-08-15 06:09:30 UTC,Golden Waffles,Fluffy & Delicious,Bread & Bakery,275g,,,3190117P,,,,,,,,5,FALSE,5,FALSE,,,1534277370.0-C-743
2018-08-15 08:09:33 UTC,Golden Waffles,Light & Buttery,Bread & Bakery,220g,,,3190092P,,,,,,,,5,FALSE,5,FALSE,,,1534284573.0-C-11809
2018-08-15 06:09:30 UTC,Grandma Moses,Seed Bread,Bread & Bakery,520g,52g,10,6211676P,1300kJ,11.4g,11.4g,2.6g,37.1g,2.9g,455mg,0,FALSE,0,FALSE,,,1534277370.0-C-643
2018-08-15 06:09:30 UTC,Grandma Moses,Whoemeal Bread,Bread & Bakery,680g,31g,22,6024974P,1140kJ,9.7g,6.8g,1.7g,39.5g,5.6g,485mg,0,FALSE,0,FALSE,,,1534277370.0-C-644
2018-08-15 06:09:30 UTC,Grandma Moses,7 Grain Rye Bread,Bread & Bakery,850g,50g,17,6211530P,1080kJ,9.9g,4.3g,0.9g,40.9g,5.0g,390mg,0,FALSE,0,FALSE,,,1534277370.0-C-645
2018-08-15 06:09:30 UTC,Grandma Moses,Mezonot Bread,Bread & Bakery,680g,Approx. 31g (1 Slice),,7697347P,1200kJ,10.4g,6.3g,1.3g,44.9g,3.6g,485mg,0,FALSE,0,FALSE,,,1534277370.0-C-677
2018-08-15 06:09:30 UTC,Grandma Moses,Seeded Rye Bread,Bread & Bakery,680g,31g,22,6024442P,,8.9g,,,45.3g,5.9g,505mg,0,FALSE,0,FALSE,,,1534277370.0-C-678
2018-08-15 06:09:29 UTC,Helga's,Lower Carb Wholemeal & Seed Bread,Bread & Bakery,700g,,,2270425P,1140kJ,14.7g,9.3g,1.1g,27.1g,2.6g,400mg,4.2,FALSE,4.2,FALSE,,,1534277369.0-C-462
2018-08-15 06:09:29 UTC,Helga's,Soy Linseed Bread,Bread & Bakery,850g,,,6913695P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277369.0-C-483
2018-08-15 06:09:29 UTC,Helga's,Lower Carb 5 Seed Bread Loaf,Bread & Bakery,700g,,,1847163P,1170kJ,13.8g,10.9g,1.2g,27.7g,2.5g,400mg,4.2,FALSE,4.2,FALSE,,,1534277369.0-C-490
2018-08-15 06:09:29 UTC,Helga's,Wholemeal 10 Grains & Seeds,Bread & Bakery,750g,,,3180430P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277369.0-C-504
2018-08-15 06:09:29 UTC,Helga's,Continental Bakehouse Wholemeal Grain Bread,Bread & Bakery,850g,,,6676716P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277369.0-C-527
2018-08-15 06:09:29 UTC,Helga's,Pumpkin Five Seed Bread,Bread & Bakery,720g,,,6009530P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277369.0-C-549
2018-08-15 06:09:30 UTC,Helga's,Traditional White Bread,Bread & Bakery,750g,,,5969945P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277370.0-C-553
