Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:49:40 UTC,twisted,Twisted Frozen Yoghurt Mini Multpack,Freezer,4x120ml,85g,4,,"Strawberry & VaNilla Bean:519kJ, Chocolate & VaNilla Bean: 530kJ","Strawberry & VaNilla Bean:1.7g, Chocolate & VaNilla Bean: 2.0g","Strawberry & VaNilla Bean:2.8g, Chocolate & VaNilla Bean: 3.2g","Strawberry & VaNilla Bean:0.8g, Chocolate & VaNilla Bean: 1.0g","Strawberry & VaNilla Bean:21.8g, Chocolate & VaNilla Bean: 21.7g","Strawberry & VaNilla Bean:17.6g, Chocolate & VaNilla Bean: 17.1g","Strawberry & VaNilla Bean:43mg, Chocolate & VaNilla Bean: 43mg",8,FALSE,8,FALSE,,,1534279780.0-W-2516
2018-08-15 06:49:40 UTC,twisted,Twisted Frozen Yoghurt Original Tart,Freezer,450ml tub,120mL,4,,497kJ,2.6g,2.6g,2.3g,20.0g,16.6g,50.6mg,7.99,TRUE,6.99,FALSE,,,1534279780.0-W-2517
2018-08-15 06:49:40 UTC,twisted,Twisted Frozen Yoghurt Salted Caramel Choc,Freezer,450ml tub,120mL,4,,529kJ,2.02g,2.18g,1.93g,21.76g,16.91g,2.78g,7.99,TRUE,6.99,FALSE,,,1534279780.0-W-2518
2018-08-15 06:49:40 UTC,twisted,Twisted Frozen Yoghurt Strawberry & Vanilla,Freezer,450ml tub,120mL,4,,439kJ,2.23g,1.74g,0.53g,20.09g,18.08g,46.77mg,7.99,TRUE,6.99,FALSE,,,1534279780.0-W-2519
2018-08-15 06:49:40 UTC,twisted,Twisted Frozen Yoghurt Creamy Coconut,Freezer,480ml,Ml,,,,,,,,,,6.99,FALSE,6.99,FALSE,,,1534279780.0-W-2520
2018-08-15 06:49:40 UTC,weis,Weis Frozen Yoghurt Mango & Toasted Coconut,Freezer,6 pack,50g,6,,721kJ,3.1g,6.2g,4.5g,25.3g,23.2g,51mg,6.8,FALSE,6.8,FALSE,,,1534279780.0-W-2521
2018-08-15 06:49:40 UTC,peters,Peters Lactose Free Ice Cream Creamy Vanilla,Freezer,1.2l tub,49g (100mL) approx. 2 Scoops,12,,880kJ,2.7g,10.9g,7.1g,25.3g,18.6g,70mg,7.6,FALSE,7.6,FALSE,,,1534279780.0-W-2522
2018-08-15 06:49:40 UTC,peters,Peters Original Vanilla ,Freezer,2l,46g,20,,750kJ,1.8g,6.4g,4.3g,28.0g,21.7g,81mg,5,FALSE,5,FALSE,,,1534279780.0-W-2523
2018-08-15 06:49:40 UTC,weis,Weis Frozen Yoghurt Vanilla Bean,Freezer,1l tub,Litre,,,,,,,,,,8,FALSE,8,FALSE,,,1534279780.0-W-2524
2018-08-15 06:49:40 UTC,weis,Weis Real Good Feel Good Simply Coconut,Freezer,1l,Litre,,,,,,,,,,8,FALSE,8,FALSE,,,1534279780.0-W-2525
